Bedrooms,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Page Number
3.0,Jubilee Hills,72000,Semi-Furnished,4.0,Bachelors,Immediately,4000.0,carpet-area,5.0,6.0,East,4
3.0,"Manchirevula, Outer Ring Road",72000,Semi-Furnished,2.0,Bachelors,Immediately,1400.0,carpet-area,8.0,9.0,East,4
3.0,Kalyan Nagar Moti Nagar,72000,Furnished,3.0,Family,Immediately,14500.0,carpet-area,1.0,4.0,East,4
3.0,Moti Nagar Erragadda,72000,Unfurnished,3.0,Bachelors,Immediately,1200.0,carpet-area,0.0,3.0,,4
2.0,"Chaitanyapuri, Kothapet",72000,Unfurnished,2.0,Bachelors/Family,Immediately,1200.0,super-area,3.0,3.0,,4
2.0,Hyderabad,72000,Semi-Furnished,2.0,Bachelors/Family,From Apr '26,815.0,carpet-area,5.0,5.0,East,4
3.0,Nalagandla,72000,Furnished,3.0,Bachelors,Immediately,1960.0,super-area,22.0,24.0,East,4
3.0,Kothapet,72000,Unfurnished,3.0,Bachelors,Immediately,1200.0,carpet-area,2.0,5.0,East,4
5.0,Madhapur,72000,Semi-Furnished,6.0,Family,Immediately,5500.0,carpet-area,8.0,8.0,North,4
3.0,Madhura Nagar Nizampet,72000,Unfurnished,3.0,Bachelors/Family,Immediately,1600.0,carpet-area,1.0,5.0,West,4
3.0,Madhapur,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,2100.0,carpet-area,3.0,5.0,,4
3.0,Hyderabad,72000,Unfurnished,3.0,Bachelors/Family,Immediately,1400.0,super-area,3.0,3.0,,4
3.0,Kondapur,72000,Semi-Furnished,3.0,Family,Immediately,1198.0,carpet-area,23.0,39.0,East,5
,Gachibowli,72000,,,Bachelors/Family,Immediately,,,,,,5
3.0,Madhapur,72000,Unfurnished,4.0,Bachelors/Family,Immediately,3000.0,super-area,4.0,15.0,,5
3.0,Hyderabad,72000,Semi-Furnished,3.0,Bachelors,Immediately,1300.0,carpet-area,1.0,5.0,East,5
3.0,Kushaiguda,72000,Unfurnished,3.0,Bachelors,Immediately,1400.0,super-area,1.0,3.0,East,5
2.0,"Kukatpally Housing Board Colony, NH 9",72000,Semi-Furnished,2.0,Family,Immediately,1200.0,super-area,,3.0,,5
2.0,Ameenpur,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1100.0,carpet-area,1.0,5.0,East,5
2.0,Sangeet Nagar Kukatpally,72000,Semi-Furnished,2.0,Bachelors,Immediately,1070.0,carpet-area,1.0,17.0,,5
4.0,Shaikpet,72000,Semi-Furnished,5.0,Bachelors,Immediately,5126.0,super-area,0.0,34.0,West,5
3.0,Srinivas Colony Nizampet,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,1710.0,carpet-area,2.0,5.0,,5
3.0,Chanda Nagar,72000,Semi-Furnished,3.0,Family,Immediately,1610.0,super-area,1.0,14.0,East,5
3.0,"Kokapet, Outer Ring Road",72000,Furnished,3.0,Bachelors/Family,Immediately,1600.0,super-area,3.0,6.0,,5
2.0,"Vittal Rao Nagar, Hitech City",72000,Semi-Furnished,2.0,Bachelors,Immediately,1370.0,super-area,1.0,3.0,North - East,5
2.0,Kondapur,72000,Semi-Furnished,2.0,Bachelors,Immediately,1495.0,super-area,12.0,26.0,West,5
1.0,"Miyapur, NH 9",72000,Furnished,1.0,Bachelors,Immediately,590.0,carpet-area,7.0,20.0,East,5
3.0,Kompally,72000,Furnished,3.0,Bachelors/Family,Immediately,1720.0,super-area,4.0,5.0,,5
2.0,"Gundlapochampally, Outer Ring Road",72000,Unfurnished,2.0,Bachelors,Immediately,1362.0,super-area,7.0,15.0,East,5
3.0,Toli Chowki,72000,Semi-Furnished,3.0,Bachelors,Immediately,1600.0,carpet-area,2.0,4.0,East,5
3.0,"Patrika Nagar, Hitech City",72000,Furnished,3.0,Bachelors,Immediately,2100.0,super-area,5.0,10.0,North - East,5
1.0,"Ameerpet, NH 9",72000,Unfurnished,1.0,Bachelors/Family,Immediately,300.0,super-area,4.0,5.0,,5
3.0,Gachibowli,72000,Unfurnished,3.0,Bachelors,Immediately,2360.0,super-area,10.0,15.0,West,5
3.0,Appa Junction Area,72000,Semi-Furnished,3.0,Family,Immediately,1700.0,carpet-area,11.0,14.0,North,5
2.0,Nizampet,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1400.0,carpet-area,2.0,2.0,North,5
3.0,Nalagandla,72000,Semi-Furnished,3.0,Bachelors,Immediately,1790.0,super-area,11.0,24.0,West,5
2.0,Nizampet,72000,Furnished,2.0,Bachelors/Family,Immediately,1100.0,super-area,4.0,5.0,,5
4.0,Gachibowli,72000,Furnished,5.0,Family,Immediately,4600.0,super-area,6.0,24.0,East,5
3.0,Gachibowli,72000,Furnished,3.0,Bachelors/Family,Immediately,1670.0,super-area,3.0,3.0,East,5
2.0,Chanda Nagar,72000,Unfurnished,2.0,Bachelors/Family,Immediately,1200.0,super-area,1.0,5.0,,5
2.0,Kondapur,72000,Semi-Furnished,2.0,Bachelors,From Apr '26,1150.0,carpet-area,2.0,4.0,East,5
2.0,Alwal,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,2400.0,super-area,2.0,4.0,,5
3.0,HUDA Layout Nalagandla,72000,Semi-Furnished,3.0,Family,Immediately,1550.0,carpet-area,7.0,10.0,East,6
2.0,"Banjara Hills, NH 9",72000,Furnished,3.0,Bachelors,Immediately,2000.0,carpet-area,4.0,4.0,,6
1.0,Hyderabad,72000,Semi-Furnished,1.0,Bachelors/Family,Immediately,900.0,super-area,4.0,5.0,,6
3.0,"Ghatkesar, NH 2 2",72000,Furnished,3.0,Bachelors/Family,Immediately,1400.0,super-area,4.0,4.0,South,6
3.0,Nanakaramguda,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,1275.0,carpet-area,9.0,26.0,West,6
3.0,Nalagandla,72000,Furnished,3.0,Bachelors/Family,Immediately,1800.0,carpet-area,6.0,8.0,North - West,6
3.0,Kondapur,72000,Furnished,3.0,Bachelors/Family,Immediately,2100.0,super-area,2.0,23.0,,6
3.0,"Manchirevula, Outer Ring Road",72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,3000.0,super-area,2.0,5.0,,6
2.0,Asif Nagar,72000,Unfurnished,2.0,Bachelors/Family,Immediately,900.0,carpet-area,0.0,5.0,,6
4.0,Kukatpally Housing Board Road,72000,Semi-Furnished,4.0,Bachelors,Immediately,2100.0,carpet-area,2.0,11.0,North - East,6
3.0,"Samata Colony, Toli Chowki",72000,Unfurnished,3.0,Bachelors/Family,Immediately,1800.0,super-area,5.0,6.0,,6
1.0,Hyderabad,72000,Furnished,1.0,Bachelors/Family,Immediately,600.0,super-area,0.0,2.0,,6
3.0,Kondapur,72000,Semi-Furnished,3.0,Bachelors,Immediately,1500.0,super-area,3.0,5.0,West,6
4.0,Madhapur,72000,Semi-Furnished,4.0,Family,Immediately,2900.0,carpet-area,3.0,5.0,North,6
3.0,Kondapur,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,1100.0,carpet-area,14.0,39.0,West,6
2.0,Kondapur,72000,Semi-Furnished,2.0,Family,Immediately,1100.0,carpet-area,4.0,4.0,West,6
3.0,Khajaguda,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,2100.0,carpet-area,4.0,10.0,West,6
