BHK,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Page Number
2.0,Manikonda Jagir,33500.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,2.0,5.0,East,2.0,4
3.0,Maheshwaram,,Semi-Furnished,3.0,Bachelors/Family,Immediately,1250.0,carpet-area,2.0,5.0,East,1.0,4
1.0,"Suraram Village, Suraram",8500.0,Unfurnished,1.0,Bachelors/Family,Immediately,550.0,carpet-area,2.0,4.0,,,4
2.0,Hyderabad,45000.0,Semi-Furnished,2.0,Bachelors,Immediately,1200.0,carpet-area,10.0,13.0,East,1.0,4
3.0,Nalagandla,60000.0,Semi-Furnished,2.0,Bachelors,Immediately,1016.0,carpet-area,10.0,24.0,East,2.0,4
2.0,Lalaguda Mettuguda,30000.0,Furnished,2.0,Bachelors/Family,Immediately,1000.0,carpet-area,2.0,5.0,West,3.0,4
3.0,"Tellapur, Outer Ring Road",49000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,2083.0,super-area,4.0,9.0,East,3.0,4
3.0,"Narsingi, Outer Ring Road",88000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,2660.0,super-area,,3.0,East,3.0,4
3.0,"Narsingi, Outer Ring Road",75000.0,Semi-Furnished,3.0,Bachelors,Immediately,2125.0,super-area,18.0,31.0,West,1.0,4
3.0,Power Welfare Society,65000.0,Furnished,3.0,Bachelors/Family,Immediately,1796.0,carpet-area,24.0,30.0,East,2.0,4
3.0,Kondapur,68000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,1500.0,carpet-area,5.0,19.0,West,1.0,4
1.0,Kondapur,16000.0,Unfurnished,1.0,Bachelors/Family,Immediately,550.0,carpet-area,2.0,4.0,North,1.0,4
3.0,Kukatpally Housing Board Road,37000.0,Semi-Furnished,2.0,Bachelors,Immediately,1415.0,carpet-area,3.0,5.0,North,1.0,4
3.0,Kharmanghat,25000.0,,3.0,Family,Immediately,1450.0,carpet-area,2.0,4.0,East,,4
3.0,"Pocharam, NH 2 2",25000.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1210.0,carpet-area,,,West,1.0,4
3.0,Nallagandla Tellapur Road,60000.0,Semi-Furnished,2.0,Bachelors,From Jan '35,1605.0,super-area,11.0,24.0,West,1.0,4
1.0,"Yellamma Banda, Jagadgiri Gutta",15000.0,Semi-Furnished,1.0,Bachelors,Immediately,600.0,super-area,2.0,3.0,,1.0,4
3.0,"Kollur, Outer Ring Road",50000.0,Furnished,3.0,Family,Immediately,1600.0,carpet-area,3.0,8.0,East,4.0,4
3.0,Adibatla,15000.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1000.0,super-area,2.0,6.0,,,4
2.0,Medipally,13000.0,Unfurnished,2.0,Bachelors,Immediately,90.0,carpet-area,2.0,3.0,South,2.0,4
3.0,Jubilee Hills,,Semi-Furnished,4.0,Bachelors,Immediately,4000.0,carpet-area,5.0,6.0,East,3.0,4
3.0,"Manchirevula, Outer Ring Road",70000.0,Semi-Furnished,2.0,Bachelors,Immediately,1400.0,carpet-area,8.0,9.0,East,1.0,4
3.0,Kalyan Nagar Moti Nagar,45000.0,Furnished,3.0,Family,Immediately,14500.0,carpet-area,1.0,4.0,East,3.0,4
3.0,Moti Nagar Erragadda,25000.0,Unfurnished,3.0,Bachelors,Immediately,1200.0,carpet-area,,3.0,,1.0,4
2.0,"Chaitanyapuri, Kothapet",20000.0,Unfurnished,2.0,Bachelors/Family,Immediately,1200.0,super-area,3.0,3.0,,,4
2.0,Hyderabad,10000.0,Semi-Furnished,2.0,Bachelors/Family,From Apr '26,815.0,carpet-area,5.0,5.0,East,1.0,4
3.0,Nalagandla,80000.0,Furnished,3.0,Bachelors,Immediately,1960.0,super-area,22.0,24.0,East,2.0,4
3.0,Kothapet,30000.0,Unfurnished,3.0,Bachelors,Immediately,1200.0,carpet-area,2.0,5.0,East,1.0,4
5.0,Madhapur,,Semi-Furnished,6.0,Family,Immediately,5500.0,carpet-area,8.0,8.0,North,4.0,4
3.0,Madhura Nagar Nizampet,22000.0,Unfurnished,3.0,Bachelors/Family,Immediately,1600.0,carpet-area,1.0,5.0,West,1.0,5
3.0,Madhapur,70000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,2100.0,carpet-area,3.0,5.0,,3.0,5
3.0,Hyderabad,25000.0,Unfurnished,3.0,Bachelors/Family,Immediately,1400.0,super-area,3.0,3.0,,,5
3.0,Kondapur,50000.0,Semi-Furnished,3.0,Family,Immediately,1198.0,carpet-area,23.0,39.0,East,1.0,5
,Gachibowli,,,,Bachelors/Family,Immediately,,,,,,,5
3.0,Madhapur,80000.0,Unfurnished,4.0,Bachelors/Family,Immediately,3000.0,super-area,4.0,15.0,,,5
3.0,Hyderabad,19000.0,Semi-Furnished,3.0,Bachelors,Immediately,1300.0,carpet-area,1.0,5.0,East,2.0,5
3.0,Kushaiguda,14000.0,Unfurnished,3.0,Bachelors,Immediately,1400.0,super-area,1.0,3.0,East,2.0,5
2.0,"Kukatpally Housing Board Colony, NH 9",,Semi-Furnished,2.0,Family,Immediately,1200.0,super-area,,3.0,,,5
2.0,Ameenpur,15000.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1100.0,carpet-area,1.0,5.0,East,1.0,5
2.0,Sangeet Nagar Kukatpally,40000.0,Semi-Furnished,2.0,Bachelors,Immediately,1070.0,carpet-area,1.0,17.0,,1.0,5
4.0,Shaikpet,,Semi-Furnished,5.0,Bachelors,Immediately,5126.0,super-area,,34.0,West,2.0,5
3.0,Srinivas Colony Nizampet,38000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,1710.0,carpet-area,2.0,5.0,,2.0,5
3.0,Chanda Nagar,46000.0,Semi-Furnished,3.0,Family,Immediately,1610.0,super-area,1.0,14.0,East,1.0,5
3.0,"Kokapet, Outer Ring Road",50000.0,Furnished,3.0,Bachelors/Family,Immediately,1600.0,super-area,3.0,6.0,,,5
2.0,"Vittal Rao Nagar, Hitech City",35000.0,Semi-Furnished,2.0,Bachelors,Immediately,1370.0,super-area,1.0,3.0,North - East,2.0,5
2.0,Kondapur,49000.0,Semi-Furnished,2.0,Bachelors,Immediately,1495.0,super-area,12.0,26.0,West,2.0,5
1.0,"Miyapur, NH 9",9000.0,Furnished,1.0,Bachelors,Immediately,590.0,carpet-area,7.0,20.0,East,1.0,5
3.0,Kompally,35000.0,Furnished,3.0,Bachelors/Family,Immediately,1720.0,super-area,4.0,5.0,,,5
