Title,BHK,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Page Number
"4 BHK Flat  for Rent in Gachibowli, Hyderabad",4.0,Gachibowli,12000.0,Semi-Furnished,4,Bachelors,Immediately,4055,super-area,5,9,West,3,12
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,10000.0,Furnished,3,Bachelors/Family,Immediately,3625,super-area,15,30,North,3,12
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,,Furnished,2,Bachelors,Immediately,1290,super-area,5,24,West,1,13
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",5000.0,Semi-Furnished,3,Bachelors,Immediately,1960,super-area,10,14,North,2,13
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,,Semi-Furnished,3,Bachelors,Immediately,1908,super-area,19,26,East,1,13
"3 BHK Flat  for Rent in Puppalguda, Hyderabad",3.0,Puppalguda,8000.0,Semi-Furnished,3,Bachelors,From Mar '26,1225,carpet-area,26,30,East,1,13
"3 BHK Flat  for Rent in Chhota Anjaiah Nagar, Gachibowli, Outer Ring Road, Hyderabad",3.0,"Chhota Anjaiah Nagar, Gachibowli, Outer Ring Road",7000.0,Semi-Furnished,3,Bachelors/Family,Immediately,2200,carpet-area,10,19,East,3,13
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,6000.0,Unfurnished,3,Bachelors/Family,Immediately,2160,super-area,12,14,North - East,1,13
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,10000.0,Semi-Furnished,4,Bachelors,Immediately,2440,super-area,9,16,West,2,13
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,2500.0,Semi-Furnished,2,Bachelors/Family,Immediately,1500,carpet-area,2,5,West,2,13
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,,Furnished,2,Bachelors/Family,Immediately,1450,carpet-area,5,6,East,1,14
"4 BHK Flat  for Rent in HUDA Techno Enclave, Hitech City, Hyderabad",4.0,"HUDA Techno Enclave, Hitech City",16000.0,Semi-Furnished,4,Family,Immediately,4095,super-area,12,20,East,3,14
"4 BHK Flat  for Rent in Financial District, Nanakram Guda, Hyderabad",4.0,"Financial District, Nanakram Guda",45600.0,Semi-Furnished,5,Family,Immediately,7718,super-area,26,28,East,5,14
"1 BHK Flat  for Rent in Madhapur, Hyderabad",1.0,Madhapur,1000.0,Furnished,1,Bachelors/Family,Immediately,500,carpet-area,4,5,East,1,14
"1 BHK Flat  for Rent in Madhapur, Hyderabad",1.0,Madhapur,1000.0,Furnished,1,Bachelors/Family,Immediately,800,carpet-area,4,6,East,1,14
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,,Furnished,1,Bachelors/Family,Immediately,500,carpet-area,4,5,East,1,14
